customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
4906-ZHGPK,54,Yes,One year,Yes,Electronic check,70.7,3770,No,Male,0,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No
7439-DKZTW,1,Yes,Month-to-month,Yes,Electronic check,80.55,80.55,No,Male,0,No,No,No,Fiber optic,No,No,No,No,Yes,No
2592-HODOV,13,Yes,One year,No,Credit card (automatic),19.3,259.65,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7826-VVKWT,24,Yes,Two year,Yes,Electronic check,96.55,2263.45,No,Female,1,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
1658-TJVOA,6,Yes,Month-to-month,Yes,Electronic check,74.1,450.9,No,Female,1,No,No,No,Fiber optic,Yes,No,No,No,No,No
2439-LYPMQ,38,Yes,Month-to-month,Yes,Electronic check,102.6,4009.2,No,Male,1,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
7596-LDUXP,12,Yes,One year,Yes,Credit card (automatic),85.15,979.05,No,Female,0,No,No,No,Fiber optic,Yes,No,No,No,Yes,No
4524-QCSSM,26,No,Month-to-month,Yes,Bank transfer (automatic),44.65,1156.55,No,Male,0,No,No,No phone service,DSL,Yes,Yes,No,No,No,Yes
7816-VGHTO,6,No,Two year,No,Mailed check,40.55,217.5,No,Female,0,Yes,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,No
3092-IGHWF,67,Yes,One year,No,Electronic check,87.4,5918.8,Yes,Male,0,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
6646-QVXLR,62,Yes,One year,Yes,Electronic check,103.75,6383.35,Yes,Male,1,Yes,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
9074-KGVOX,50,No,Month-to-month,Yes,Credit card (automatic),39.45,2021.35,No,Male,0,Yes,Yes,No phone service,DSL,Yes,No,No,No,Yes,No
5360-XGYAZ,72,No,Two year,Yes,Bank transfer (automatic),65.65,4664.5,No,Male,0,Yes,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0354-WYROK,31,Yes,Month-to-month,Yes,Electronic check,98.9,2911.3,Yes,Female,1,Yes,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
9778-OGKQZ,72,Yes,Two year,Yes,Credit card (automatic),92.0,6782.15,No,Male,0,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
